SKU,Name,DisplayName,Description,LocationCode,Thickness,RetailPrice,UOM,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
AC-0000001,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,1,1,56.82857143,EA,AC,0,0,0,HAFELE,547.42.231
AC-0000002,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,1,1,63.04,EA,AC,0,0,0,HAFELE,547.42.241
AC-0000003,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,1,1,67.61142857,EA,AC,0,0,0,HAFELE,547.42.232
AC-0000004,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,1,1,72.77714286,EA,AC,0,0,0,HAFELE,547.42.242
AC-0000005,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,1,1,31.02857143,EA,AC,0,0,0,HAFELE,547.42.741
AC-0000006,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,1,1,63.77142857,EA,AC,0,0,0,HAFELE,547.42.742
AC-0000007,Hamper Bashket Wht 18x14x19,Hamper Bashket Wht 18x14x19,Hamper Bashket Wht 18x14x19,1,1,61.14285714,EA,AC,0,0,0,HAFELE,547.42.731
AC-0000008,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,1,1,58.51428571,EA,AC,0,0,0,HAFELE,547.42.732
AC-0000010,Hamper Brake Flap Left,Hamper Brake Flap Left,Hamper Brake Flap Left,1,1,3.514285714,EA,AC,0,0,0,HAFELE,365.86.713
AC-0000011,Hamper Brake Flap Right,Hamper Brake Flap Right,Hamper Brake Flap Right,1,1,3.514285714,EA,AC,0,0,0,HAFELE,365.86.704
AC-0000012,Hamper Rack Chrome  214 MM,Hamper Rack Chrome  214 MM,Hamper Rack Chrome  214 MM,1,1,3.062857143,EA,AC,0,0,0,HAFELE,547.42.990
AC-0000014,Hamper Rack White 214 (New),Hamper Rack White 214,Hamper Rack White 214 (New),1,1,3.342857143,EA,AC,0,0,0,HAFELE,547.42.991
AC-0000015,"CLOTH LAUNDRY BAG 24"" CREAM",CLOTH LAUNDRY BAG 24in CREAM,"CLOTH LAUNDRY BAG 24"" CREAM",1,1,32.31428571,EA,AC,0,0,0,HAFELE,547.42.488
AC-0000016,"CLOTH LAUNDRY BAG 18"" CREAM",CLOTH LAUNDRY BAG 18in CREAM,"CLOTH LAUNDRY BAG 18"" CREAM",1,1,28.57142857,EA,AC,0,0,0,HAFELE,547.42.486
AC-0000025,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,1,1,1.685714286,EA,AC,0,0,0,HAFELE,155.99.029
AC-0000027,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,1,1,6,EA,AC,0,0,0,HAFELE,133.79.051
AC-0000030,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,1,1,2.811428571,EA,AC,0,0,0,HAFELE,120.61.350
AC-0000033,KN  NICKEL  MATT 134.45.600,KN  NICKEL  MATT 134.45.600,KN  NICKEL  MATT 134.45.600,1,1,2.377142857,EA,AC,0,0,0,HAFELE,134.45.600
AC-0000041,KN POL CHM MUSH 155.99.030,KN POL CHM MUSH 155.99.030,KN POL CHM MUSH 155.99.030,1,1,1.782857143,EA,AC,0,0,0,HAFELE,155.99.030
AC-0000042,KN SAT BNZ CPR 155.01.818,KN SAT BNZ CPR 155.01.818,KN SAT BNZ CPR 155.01.818,1,1,3,EA,AC,0,0,0,HAFELE,155.01.818
AC-0000046,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,1,1,2.377142857,EA,AC,0,0,0,HAFELE,134.45.308
AC-0000049,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,1,1,1.857142857,EA,AC,0,0,0,HAFELE,134.06.441
AC-0000050,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,1,1,1.8,EA,AC,0,0,0,HAFELE,134.06.641
AC-0000051,KN BLACK MATT MUSH 155.99.028,KN BLACK MATT MUSH 155.99.028,KN BLACK MATT MUSH 155.99.028,1,1,1.714285714,EA,AC,0,0,0,HAFELE,155.99.028
AC-0000052,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,1,1,4.542857143,EA,AC,0,0,0,HAFELE,134.33.320
AC-0000054,PULL M SQ BAR SS 155.00.060,PULL M SQ BAR SS 155.00.060,PULL M SQ BAR SS 155.00.060,1,1,4.171428571,EA,AC,0,0,0,HAFELE,155.00.060
AC-0000055,PULL M SQ BAR SS 155.00.061,PULL M SQ BAR SS 155.00.061,PULL M SQ BAR SS 155.00.061,1,1,6,EA,AC,0,0,0,HAFELE,155.00.061
AC-0000056,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,1,1,10.05714286,EA,AC,0,0,0,HAFELE,117.95.630
AC-0000057,PULL M BN NEXUS 107.38.603,PULL M BN NEXUS 107.38.603,PULL M BN NEXUS 107.38.603,1,1,5.485714286,EA,AC,0,0,0,HAFELE,107.38.603
AC-0000058,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,1,1,6,EA,AC,0,0,0,HAFELE,104.08.000
AC-0000059,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,1,1,5.542857143,EA,AC,0,0,0,HAFELE,121.90.302
AC-0000061,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,1,1,1.211428571,EA,AC,0,0,0,HAFELE,116.07.429
AC-0000063,PULL M BLACK MATT  102.47.319,PULL M BLACK MATT  102.47.319,PULL M BLACK MATT  102.47.319,1,1,12.08571429,EA,AC,0,0,0,HAFELE,102.47.319
AC-0000064,PULL M  BK MAT CRES 117.31.320,PULL M  BK MAT CRES 117.31.320,PULL M  BK MAT CRES 117.31.320,1,1,2.342857143,EA,AC,0,0,0,HAFELE,117.31.320
AC-0000066,PULL M  NI MAT CRES 117.31.628,PULL M  NI MAT CRES 117.31.628,PULL M  NI MAT CRES 117.31.628,1,1,2.114285714,EA,AC,0,0,0,HAFELE,117.31.628
AC-0000067,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,1,1,4.4,EA,AC,0,0,0,HAFELE,117.31.638
AC-0000068,PULL M  POL CH CRES 155.99.018,PULL M  POL CH CRES 155.99.018,PULL M  POL CH CRES 155.99.018,1,1,3.685714286,EA,AC,0,0,0,HAFELE,155.99.018
AC-0000069,PULL S POL CHM CRES 155.99.023,PULL S POL CHM CRES 155.99.023,PULL S POL CHM CRES 155.99.023,1,1,4.285714286,EA,AC,0,0,0,HAFELE,155.99.023
AC-0000071,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,1,1,10.01142857,EA,AC,0,0,0,HAFELE,121.88.260
AC-0000080,PULL M BR NIC MATT 121.88.662,PULL M BR NIC MATT 121.88.662,PULL M BR NIC MATT 121.88.662,1,1,14,EA,AC,0,0,0,HAFELE,121.88.662
AC-0000083,PULL M WIRE PC 116.09.288,PULL M WIRE PC 116.09.288,PULL M WIRE PC 116.09.288,1,1,3.714285714,EA,AC,0,0,0,HAFELE,116.09.288
AC-0000084,PULL M POL CHROME 155.00.931,PULL M POL CHROME 155.00.931,PULL M POL CHROME 155.00.931,1,1,3,EA,AC,0,0,0,HAFELE,155.00.931
AC-0000085,PULL S MATT CH CRES 117.31.418,PULL S MATT CH CRES 117.31.418,PULL S MATT CH CRES 117.31.418,1,1,4.4,EA,AC,0,0,0,HAFELE,117.31.418
AC-0000086,PULL MATT CHM CRES  117.31.408,PULL MATT CHM CRES  117.31.408,PULL MATT CHM CRES  117.31.408,1,1,3.8,EA,AC,0,0,0,HAFELE,117.31.408
AC-0000090,PULL WIRE S ORB 116.07.323,PULL WIRE S ORB 116.07.323,PULL WIRE S ORB 116.07.323,1,1,1.457142857,EA,AC,0,0,0,HAFELE,116.07.323
AC-0000091,PULL S WIRE NI MATT 116.07.621,PULL S WIRE NI MATT 116.07.621,PULL S WIRE NI MATT 116.07.621,1,1,1.228571429,EA,AC,0,0,0,HAFELE,116.07.621
AC-0000092,PULL WIRE SC 116.07.118,PULL WIRE SC 116.07.118,PULL WIRE SC 116.07.118,1,1,1.4,EA,AC,0,0,0,HAFELE,116.07.118
