Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
Hamper Basket Chrome 18x14x19,AC-0000001,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,24.746,85.372,EA,AC,HAFELE,547.42.231,4,1,0,0,0
Hamper Basket Chrome 18x16x19,AC-0000002,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,27.57,95.118,EA,AC,HAFELE,547.42.241,4,1,0,0,0
Hamper Basket Chrome 24x14x19,AC-0000003,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,29.33,101.19,EA,AC,HAFELE,547.42.232,4,1,0,0,0
Hamper Basket Chrome 24x16x19,AC-0000004,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,31.328,108.082,EA,AC,HAFELE,547.42.242,4,1,0,0,0
Hamper Basket Wht 18x16x19,AC-0000005,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,21.439,73.965,EA,AC,HAFELE,547.42.741,4,1,0,0,0
Hamper Basket Wht 24x16x19,AC-0000006,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,25.367,87.516,EA,AC,HAFELE,547.42.742,4,1,0,0,0
Hamper Bashket Wht 18x14x19,AC-0000007,Hamper Bashket Wht 18x14x19,Hamper Bashket Wht 18x14x19,25.575,88.234,EA,AC,HAFELE,547.42.731,4,1,0,0,0
Hamper Basket Wht 24x14x19,AC-0000008,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,23.383,80.67,EA,AC,HAFELE,547.42.732,4,1,0,0,0
Hamper Brake Flap Left,AC-0000010,Hamper Brake Flap Left,Hamper Brake Flap Left,1.353,4.668,EA,AC,HAFELE,365.86.713,4,1,0,0,0
Hamper Brake Flap Right,AC-0000011,Hamper Brake Flap Right,Hamper Brake Flap Right,1.353,4.668,EA,AC,HAFELE,365.86.704,4,1,0,0,0
Hamper Rack Chrome 214 MM,AC-0000012,Hamper Rack Chrome 214 MM,Hamper Rack Chrome 214 MM,0.945,3.26,EA,AC,HAFELE,547.42.990,4,1,0,0,0
Hamper Rack White 214 (New),AC-0000014,Hamper Rack White 214 (New),Hamper Rack White 214,0.817,2.82,EA,AC,HAFELE,547.42.991,4,1,0,0,0
"CLOTH LAUNDRY BAG 24"" CREAM",AC-0000015,"CLOTH LAUNDRY BAG 24"" CREAM",CLOTH LAUNDRY BAG 24in CREAM,12.239,42.223,EA,AC,HAFELE,547.42.488,4,1,0,0,0
"CLOTH LAUNDRY BAG 18"" CREAM",AC-0000016,"CLOTH LAUNDRY BAG 18"" CREAM",CLOTH LAUNDRY BAG 18in CREAM,10.86,37.468,EA,AC,HAFELE,547.42.486,4,1,0,0,0
