SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
PM-0014-0000731,White New,White New,White New 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880035,120,Tafisa
PM-0014-0000730,White New,White New,White New 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880035,120,Tafisa
EB-0014-0000004,White New,White New,White New 1mm,2,0.039,EB,0.38,0.38,LF,1037,880035,120,Tafisa
PM-0014-0000733,Tete a Tete,Tete a Tete,Tete a Tete 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880036,120,Tafisa
PM-0014-0000732,Tete a Tete,Tete a Tete,Tete a Tete 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880036,120,Tafisa
EB-0014-0000005,Tete a Tete,Tete a Tete,Tete a Tete 1mm,2,0.039,EB,0.38,0.38,LF,1037,880036,120,Tafisa
PM-0014-0000735,Winter Fun,Winter Fun,Winter Fun 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880037,120,Tafisa
PM-0014-0000734,Winter Fun,Winter Fun,Winter Fun 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880037,120,Tafisa
EB-0014-0000006,Winter Fun,Winter Fun,Winter Fun 1mm,2,0.039,EB,0.38,0.38,LF,1037,880037,120,Tafisa
PM-0014-0000737,New Wave,New Wave,New Wave 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880038,120,Tafisa
PM-0014-0000736,New Wave,New Wave,New Wave 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880038,120,Tafisa
EB-0014-0000007,New Wave,New Wave,New Wave 1mm,2,0.039,EB,0.38,0.38,LF,1037,880038,120,Tafisa
PM-0014-0000739,Sunday Bunch,Sunday Bunch,Sunday Bunch 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880039,120,Tafisa
PM-0014-0000738,Sunday Bunch,Sunday Bunch,Sunday Bunch 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880039,120,Tafisa
EB-0014-0000008,Sunday Bunch,Sunday Bunch,Sunday Bunch 1mm,2,0.039,EB,0.38,0.38,LF,1037,880039,120,Tafisa
PM-0014-0000741,Tea For Two,Tea For Two,Tea For Two 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880040,120,Tafisa
PM-0014-0000740,Tea For Two,Tea For Two,Tea For Two 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880040,120,Tafisa
EB-0014-0000009,Tea For Two,Tea For Two,Tea For Two 1mm,2,0.039,EB,0.38,0.38,LF,1037,880040,120,Tafisa
PM-0014-0000743,Casting at First Light,Casting at First Light,Casting at First Light 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880041,120,Tafisa
PM-0014-0000742,Casting at First Light,Casting at First Light,Casting at First Light 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880041,120,Tafisa
EB-0014-0000010,Casting at First Light,Casting at First Light,Casting at First Light 1mm,2,0.039,EB,0.38,0.38,LF,1037,880041,120,Tafisa
PM-0014-0000745,After Hours,After Hours,After Hours 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880042,120,Tafisa
PM-0014-0000744,After Hours,After Hours,After Hours 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880042,120,Tafisa
EB-0014-0000011,After Hours,After Hours,After Hours 1mm,2,0.039,EB,0.38,0.38,LF,1037,880042,120,Tafisa
PM-0014-0000747,Stargazer,Stargazer,Stargazer 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880043,120,Tafisa
PM-0014-0000746,Stargazer,Stargazer,Stargazer 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880043,120,Tafisa
EB-0014-0000012,Stargazer,Stargazer,Stargazer 1mm,2,0.039,EB,0.38,0.38,LF,1037,880043,120,Tafisa
PM-0014-0000749,Summertime Blues,Summertime Blues,Summertime Blues 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880044,120,Tafisa
PM-0014-0000748,Summertime Blues,Summertime Blues,Summertime Blues 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880044,120,Tafisa
EB-0014-0000013,Summertime Blues,Summertime Blues,Summertime Blues 1mm,2,0.039,EB,0.38,0.38,LF,1037,880044,120,Tafisa
