Color Discription:,Chip Code:,Vendor:
Alpine White,GCT-0001,AZ Tile
Amarello Boreal,GCT-0002,AZ Tile
Amber Fantasy,GCT-0003,AZ Tile
Azul Aran,GCT-0004,AZ Tile
Azul Platino,GCT-0005,AZ Tile
Bainbrook Brown,GCT-0006,AZ Tile
Baltic Brown,GCT-0007,AZ Tile
Barbados Sand,GCT-0008,AZ Tile
Bianco Antico,GCT-0009,AZ Tile
Cafe Imperial,GCT-0010,AZ Tile
Carioca Gold,GCT-0011,AZ Tile
Celestial Blue,GCT-0012,AZ Tile
Cold Spring,GCT-0013,AZ Tile
Colonial Gold,GCT-0014,AZ Tile
Cosmos,GCT-0015,AZ Tile
Costa Esmerald,GCT-0016,AZ Tile
Crema Bordeaux,GCT-0017,AZ Tile
Crema Caramel,GCT-0018,AZ Tile
Dakota Mahogany,GCT-0019,AZ Tile
Delicatos Gold,GCT-0020,AZ Tile
Delicatos White,GCT-0021,AZ Tile
Desert Brown,GCT-0022,AZ Tile
El Paso,GCT-0023,AZ Tile
Emerald Pearl,GCT-0024,AZ Tile
Espirito Santo,GCT-0025,AZ Tile
Galaxy Black,GCT-0026,AZ Tile
Ghibli,GCT-0027,AZ Tile
Giallo Fiorito,GCT-0028,AZ Tile
Giallo Ornament,GCT-0029,AZ Tile
Giallo Vicenza,GCT-0030,AZ Tile
Golden Beaches,GCT-0031,AZ Tile
Golden Ray,GCT-0032,AZ Tile
Golden Thunder,GCT-0033,AZ Tile
Impala Black,GCT-0034,AZ Tile
Juparana Antique,GCT-0035,AZ Tile
Juparana Classico,GCT-0036,AZ Tile
Juparana Gaivota,GCT-0037,AZ Tile
Kashmir Gold,GCT-0038,AZ Tile
Kashmir White,GCT-0039,AZ Tile
Lapidus,GCT-0040,AZ Tile
Luna Pearl,GCT-0041,AZ Tile
Madurai Gold,GCT-0042,AZ Tile
Mascarello,GCT-0043,AZ Tile
Mombasa,GCT-0044,AZ Tile
Moroccan Cliff,GCT-0045,AZ Tile
Nordic Black,GCT-0046,AZ Tile
Paradise Beach,GCT-0047,AZ Tile
Saci,GCT-0048,AZ Tile
Santa Cecilia,GCT-0049,AZ Tile
Santa Fe,GCT-0050,AZ Tile
Sapphire Blue,GCT-0051,AZ Tile
Sapphire Brown,GCT-0052,AZ Tile
Secret Garden,GCT-0053,AZ Tile
Sequoia,GCT-0054,AZ Tile
Silicon Gold,GCT-0055,AZ Tile
Spectrus,GCT-0056,AZ Tile
Super Classico,GCT-0057,AZ Tile
Surf Green,GCT-0058,AZ Tile
Talisman,GCT-0059,AZ Tile
Tan Brown,GCT-0060,AZ Tile
Tropical Brown,GCT-0061,AZ Tile
Tropical Green,GCT-0062,AZ Tile
Typhoon Bordeaux,GCT-0063,AZ Tile
Verde Peacock,GCT-0064,AZ Tile
Vyara,GCT-0065,AZ Tile
White Spring,GCT-0066,AZ Tile
Yellow River,GCT-0067,AZ Tile
