Color Discription:,Chip Code:,Vendor:
Airy Concrete,4044,Caesarstone
Cloudburst Concrete,4011,Caesarstone
Empira White,5151,Caesarstone
Excava,4046,Caesarstone
Flannel Grey,4643,Caesarstone
Frozen Terra,4601,Caesarstone
Intense White,6011,Caesarstone
Topus Concrete,4023,Caesarstone
Alpine Mist,5110,Caesarstone
Atlantic Salt,6270,Caesarstone
Bianco Drift,6131,Caesarstone
Blizzard,2141,Caesarstone
Calacatta Nuvo,5131,Caesarstone
Clamshell,4130,Caesarstone
Coastal Grey,6003,Caesarstone
Concrete,2003,Caesarstone
Cosmopolitan White,5130,Caesarstone
Dreamy Marfil,5220,Caesarstone
Eggshell,3141,Caesarstone
Fresh Concrete,4001,Caesarstone
Frosty Carrina,5141,Caesarstone
Georgian Bluffs,6134,Caesarstone
Ginger,4330,Caesarstone
Haze,2030,Caesarstone
Himalayan Moon,6611,Caesarstone
Jet Black,3100,Caesarstone
London Grey,5000,Caesarstone
Montblanc,5043,Caesarstone
Moorland Fog,6046,Caesarstone
Noble Grey,5211,Caesarstone
Nougat,6600,Caesarstone
Ocean Foam,6141,Caesarstone
Organic White,4600,Caesarstone
Pebble,4030,Caesarstone
Piatra Grey,5003,Caesarstone
Pure White,1141,Caesarstone
Raven,4120,Caesarstone
Raw Concrete,4004,Caesarstone
Rugged Concrete,4033,Caesarstone
Sleek Concrete,4003,Caesarstone
Statuario Maximus,5031,Caesarstone
Statuario Nuvo,5111,Caesarstone
Symphony Grey,5133,Caesarstone
Taj Royale,5212,Caesarstone
Turbine Grey,6313,Caesarstone
Tuscan Dawn,5104,Caesarstone
Vanilla Noir,5100,Caesarstone
White Attica,5143,Caesarstone
Woodlands,6338,Caesarstone
