Color Discription:,Chip Code:,Vendor:
Aberdeen,7111,Cambria
Annicca,128,Cambria
Aragon,1730,Cambria
Armitage,5416,Cambria
Ashford,7620,Cambria
Bala Blue,3110,Cambria
Baybridge,2173,Cambria
Beaumont,365,Cambria
Bellingham,361,Cambria
Bentley,139,Cambria
Berkeley,1725,Cambria
Berwyn,362,Cambria
Blackpool,5330,Cambria
Blackwood,5500,Cambria
Bradford,3120,Cambria
Bradshaw,1715,Cambria
Braemar,380,Cambria
Brecon Brown,2090,Cambria
Brentwood,3011,Cambria
Bridgewater,2179,Cambria
Brighstone,5365,Cambria
Bristol Blue,3210,Cambria
Brittanicca,126,Cambria
Brittanicca Gold,134,Cambria
Brittanicca Warm,136,Cambria
Brownhill,1720,Cambria
Buckingham,1777,Cambria
Burnbury,1350,Cambria
Burton Brown,1410,Cambria
Caerphilly Green,6130,Cambria
Cambria Black,5320,Cambria
Cambrian Gold,1510,Cambria
Canongate,2096,Cambria
Canterbury,1740,Cambria
Cardiff Cream,210,Cambria
Cardigan Red,4210,Cambria
Carlisle Gray,2300,Cambria
Carmarthen Brown,1210,Cambria
Carrick,2176,Cambria
Castell,3010,Cambria
Castlemartin,316,Cambria
Charston,5430,Cambria
Chatham,7610,Cambria
Cherrybrook,1220,Cambria
Clairidge,1800,Cambria
Clareanne,2177,Cambria
Clyde,1140,Cambria
Collybrooke,2085,Cambria
Coswell Cream,810,Cambria
Cranbrook,2310,Cambria
Crowndale,364,Cambria
Cuddington,850,Cambria
Darlington,350,Cambria
Daron,3300,Cambria
Delgatie,123,Cambria
Devon,2170,Cambria
Dovedale,121,Cambria
Dover,1130,Cambria
Dunmore,2185,Cambria
Durham,2240,Cambria
Edinburough,5390,Cambria
Ella,127,Cambria
Ellesmere,5225,Cambria
Fairbourne,315,Cambria
Ferndale,6160,Cambria
Fieldstone,2160,Cambria
Flint Black,5410,Cambria
Galloway,355,Cambria
Golden Dragon,5215,Cambria
Greystone,2180,Cambria
Hadley,3261,Cambria
Halstead,1780,Cambria
Hamilton,1650,Cambria
Hampshire,1251,Cambria
Harlech,1747,Cambria
Havergate,1749,Cambria
Hazelford,1230,Cambria
Helmsley,1748,Cambria
Henley,1910,Cambria
Highgate,133,Cambria
Hollinsbrook,5221,Cambria
Huntley,375,Cambria
Hyde Park,2150,Cambria
Ironsbridge,135,Cambria
Islington,3240,Cambria
Kelvingrove,2030,Cambria
Kensington,6210,Cambria
Kentmere,821,Cambria
Kingston,2320,Cambria
Kirkstead,205,Cambria
Lancaster,4620,Cambria
Laneshaw,1250,Cambria
Langdon,1746,Cambria
Levven,5600,Cambria
Lincolnshire,2011,Cambria
Linwood,2010,Cambria
Manchester,1620,Cambria
Marwell,2195,Cambria
Mayfair,376,Cambria
Menai,5350,Cambria
Mersey,5335,Cambria
Minera,5360,Cambria
Montgomery,371,Cambria
Myddleton,2174,Cambria
Nevern,1735,Cambria
New Brighton,1280,Cambria
New Castle,410,Cambria
New Quay,360,Cambria
New Haven,2190,Cambria
Newport,124,Cambria
Nottingham,7120,Cambria
Oakhampton,1240,Cambria
Oakmoor,1180,Cambria
Oxford,7110,Cambria
Oxwich Green,6200,Cambria
Park Gate,1610,Cambria
Parys,3255,Cambria
Pendle Hill,357,Cambria
Praa Sands,370,Cambria
Preston,2220,Cambria
Princetown,3330,Cambria
Queen Anne,2178,Cambria
Ramsey,2175,Cambria
Reading,1470,Cambria
Rose Bay,132,Cambria
Rosedale,131,Cambria
Rosslyn,4320,Cambria
Roxwell,2280,Cambria
Sanford,870,Cambria
Seagrove,381,Cambria
Sharpham,5415,Cambria
Sheffield,2230,Cambria
Shirebrook,1745,Cambria
Skara Brae,137,Cambria
Skye,3350,Cambria
Snowdon White,110,Cambria
Somerset,1460,Cambria
South Hampton,5420,Cambria
Stafford Brown,1120,Cambria
Summerhill,356,Cambria
Sutton,1760,Cambria
Swanbridge,129,Cambria
Talbot Gray,2210,Cambria
Templeton,230,Cambria
Tenby Cream,510,Cambria
Torquay,122,Cambria
Victoria,1710,Cambria
Walton,2171,Cambria
Waterford,3250,Cambria
Waverton,250,Cambria
Wellington,1245,Cambria
Welshpool Black,5210,Cambria
Wentwood,6250,Cambria
Westminster,5220,Cambria
Weybourne,130,Cambria
White Cliff,125,Cambria
White Hall,120,Cambria
Whitney,115,Cambria
Williston,5110,Cambria
Willshire Red,4310,Cambria
Winchester,1770,Cambria
Windermere,351,Cambria
Windsor,1750,Cambria
Winterbourne,138,Cambria
Wisley,2200,Cambria
