Color Discription:,Chip Code:,Vendor:
Antique Pearl,TPE,Corian
Ashen Gray,AGR,Corian
Bianco Dolomite,BDM,Corian
Bianco Marmor,BIM,Corian
Bianco Pur,BIP,Corian
Black Quasar,BQR,Corian
Blue Carra,BCA,Corian
Calacatta Natura,CAL,Corian
Caraway,CRW,Corian
Cloud White,CWH,Corian
Coarse Carrara,CCA,Corian
Coarse Marfil,CMA,Corian
Coarse Pepper,CPR,Corian
Coarse Pepper Leathered,LCPR,Corian
Concrete Carrara,CON,Corian
Dove Grey,DGR,Corian
Dove Grey Leathered,LDGR,Corian
Galaxy Black,GBL,Corian
Geo Grigio,GEG,Corian
Graphite,GPH,Corian
Grigione,GRI,Corian
Indigo Swirl,ISW,Corian
Indus Red,IRD,Corian
London Sky,LON,Corian
Lunar Pearl,LPE,Corian
Marble Mist,MST,Corian
Mystic Black,MBL,Corian
Nebula,NBA,Corian
Neve,NEV,Corian
Onyx Carrara,OCA,Corian
Oyster Grigio,OYG,Corian
Papyrus,PAP,Corian
Pearl Stone,PST,Corian
Portoro,POR,Corian
Saddle Brown,SBD,Corian
Slate Geo,SLG,Corian
Snowdrift,SND,Corian
Snow Flurry,SFL,Corian
Snow White,SWH,Corian
Storm Grey,SGR,Corian
Storm Grey Leathered,LSGR,Corian
Stratus White,STW,Corian
Toasted Almond,TAR,Corian
Toffee,TOF,Corian
Valente Pearl,VLP,Corian
Venetia Cream Leathered,LVEN,Corian
Venetia Cream,VEN,Corian
Versilia Grigio,VER,Corian
