Color Discription:,Chip Code:,Vendor:
Absolute Blanc,VAD-0001,Vadara
Amara,VAD-0002,Vadara
Arcadia,VAD-0003,Vadara
Athena,VAD-0004,Vadara
Bianco Onyx,VAD-0005,Vadara
Bianco Perla,VAD-0006,Vadara
Bianco Molasa,VAD-0007,Vadara
Blanco Piedra,VAD-0008,Vadara
Blanco Venato,VAD-0009,Vadara
Brushed Cement,VAD-0010,Vadara
Brushed Concrete,VAD-0011,Vadara
Brushed Salt,VAD-0012,Vadara
Calacatta Belleza,VAD-0013,Vadara
Calacatta Blanco,VAD-0014,Vadara
Calacatta Dorada,VAD-0015,Vadara
Carrara,VAD-0016,Vadara
Ceniza,VAD-0017,Vadara
Concreto,VAD-0018,Vadara
Concreto Leather,VAD-0019,Vadara
Crema,VAD-0020,Vadara
Denali,VAD-0021,Vadara
Gelsomino,VAD-0022,Vadara
Giallo Onyx,VAD-0023,Vadara
Glace,VAD-0024,Vadara
Grey Cielo,VAD-0025,Vadara
Heather,VAD-0026,Vadara
Laneve,VAD-0027,Vadara
Marengo,VAD-0028,Vadara
Milos,VAD-0029,Vadara
Modern Coal,VAD-0030,Vadara
Modern Concrete,VAD-0031,Vadara
Naxos,VAD-0032,Vadara
Nero Galassia,VAD-0033,Vadara
Nieve White,VAD-0034,Vadara
Nombre,VAD-0035,Vadara
Ocean Sand,VAD-0036,Vadara
Oscuro,VAD-0037,Vadara
Petra Grigio,VAD-0038,Vadara
Rosso Onyx,VAD-0039,Vadara
Sand Dune,VAD-0040,Vadara
Sereno Bianco,VAD-0041,Vadara
Slate Grey,VAD-0042,Vadara
Statuario Venato,VAD-0043,Vadara
Tierra,VAD-0044,Vadara
Vanilla,VAD-0045,Vadara
Verona,VAD-0046,Vadara
