SKU,Name,DisplayName,Description,Thickness,RetailPrice,UOF,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
AC-0000001,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,1,56.829,EA,AC,0,0,0,HAFELE,547.42.231
AC-0000002,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,1,63.04,EA,AC,0,0,0,HAFELE,547.42.241
AC-0000003,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,1,67.611,EA,AC,0,0,0,HAFELE,547.42.232
AC-0000004,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,1,72.777,EA,AC,0,0,0,HAFELE,547.42.242
AC-0000005,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,1,31.029,EA,AC,0,0,0,HAFELE,547.42.741
AC-0000006,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,1,63.771,EA,AC,0,0,0,HAFELE,547.42.742
AC-0000007,Hamper Bashket Wht 18x14x19,Hamper Bashket Wht 18x14x19,Hamper Bashket Wht 18x14x19,1,61.143,EA,AC,0,0,0,HAFELE,547.42.731
AC-0000008,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,1,58.514,EA,AC,0,0,0,HAFELE,547.42.732
AC-0000010,Hamper Brake Flap Left,Hamper Brake Flap Left,Hamper Brake Flap Left,1,3.514,EA,AC,0,0,0,HAFELE,365.86.713
AC-0000011,Hamper Brake Flap Right,Hamper Brake Flap Right,Hamper Brake Flap Right,1,3.514,EA,AC,0,0,0,HAFELE,365.86.704
AC-0000012,Hamper Rack Chrome  214 MM,Hamper Rack Chrome  214 MM,Hamper Rack Chrome  214 MM,1,3.063,EA,AC,0,0,0,HAFELE,547.42.990
AC-0000014,Hamper Rack White 214 (New),Hamper Rack White 214,Hamper Rack White 214 (New),1,3.343,EA,AC,0,0,0,HAFELE,547.42.991
AC-0000015,CLOTH LAUNDRY BAG 24in CREAM,CLOTH LAUNDRY BAG 24in CREAM,CLOTH LAUNDRY BAG 24in CREAM,1,32.314,EA,AC,0,0,0,HAFELE,547.42.488
AC-0000016,CLOTH LAUNDRY BAG 18in CREAM,CLOTH LAUNDRY BAG 18in CREAM,CLOTH LAUNDRY BAG 18in CREAM,1,28.571,EA,AC,0,0,0,HAFELE,547.42.486
AC-0000025,KN BRU NI RD 134.06.631,KN BRU NI RD 134.06.631,KN BRU NI RD 134.06.631,1,1.686,EA,AC,0,0,0,HAFELE,134.06.631
AC-0000027,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,1,4.686,EA,AC,0,0,0,HAFELE,133.79.051
AC-0000030,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,1,2.811,EA,AC,0,0,0,HAFELE,120.61.350
AC-0000033,KN  NICKEL  MATT 134.45.600,KN  NICKEL  MATT 134.45.600,KN  NICKEL  MATT 134.45.600,1,2.377,EA,AC,0,0,0,HAFELE,134.45.600
AC-0000041,KN POL CHM MUSH 134.06.241,KN POL CHM MUSH 134.06.241,KN POL CHM MUSH 134.06.241,1,1.783,EA,AC,0,0,0,HAFELE,134.06.241
AC-0000042,KN SAT BNZ CPR 134.06.101,KN SAT BNZ CPR 134.06.101,KN SAT BNZ CPR 134.06.101,1,1.76,EA,AC,0,0,0,HAFELE,134.06.101
AC-0000046,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,1,2.377,EA,AC,0,0,0,HAFELE,134.45.308
AC-0000049,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,1,1.857,EA,AC,0,0,0,HAFELE,134.06.441
AC-0000050,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,1,1.8,EA,AC,0,0,0,HAFELE,134.06.641
AC-0000051,KN BLACK MATT MUSH 134.06.301,KN BLACK MATT MUSH 134.06.301,KN BLACK MATT MUSH 134.06.301,1,1.714,EA,AC,0,0,0,HAFELE,134.06.301
AC-0000052,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,1,4.543,EA,AC,0,0,0,HAFELE,134.33.320
AC-0000054,PULL M SQ BAR SS 102.12.001,PULL M SQ BAR SS 102.12.001,PULL M SQ BAR SS 102.12.001,1,4.171,EA,AC,0,0,0,HAFELE,102.12.001
AC-0000055,PULL M SQ BAR SS 102.12.002,PULL M SQ BAR SS 102.12.002,PULL M SQ BAR SS 102.12.002,1,5.171,EA,AC,0,0,0,HAFELE,102.12.002
AC-0000056,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,1,10.057,EA,AC,0,0,0,HAFELE,117.95.630
AC-0000057,PULL M BN NEXUS 107.38.603,PULL M BN NEXUS 107.38.603,PULL M BN NEXUS 107.38.603,1,5.486,EA,AC,0,0,0,HAFELE,107.38.603
AC-0000058,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,1,4.8,EA,AC,0,0,0,HAFELE,104.08.000
AC-0000059,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,1,5.543,EA,AC,0,0,0,HAFELE,121.90.302
AC-0000061,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,1,1.211,EA,AC,0,0,0,HAFELE,116.07.429
AC-0000063,PULL M BLACK MATT  102.47.319,PULL M BLACK MATT  102.47.319,PULL M BLACK MATT  102.47.319,1,12.086,EA,AC,0,0,0,HAFELE,102.47.319
AC-0000064,PULL M  BK MAT CRES 117.31.320,PULL M  BK MAT CRES 117.31.320,PULL M  BK MAT CRES 117.31.320,1,2.343,EA,AC,0,0,0,HAFELE,117.31.320
AC-0000066,PULL M  NI MAT CRES 117.31.628,PULL M  NI MAT CRES 117.31.628,PULL M  NI MAT CRES 117.31.628,1,2.114,EA,AC,0,0,0,HAFELE,117.31.628
AC-0000067,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,1,4.4,EA,AC,0,0,0,HAFELE,117.31.638
AC-0000068,PULL M  POL CH CRES 117.31.228,PULL M  POL CH CRES 117.31.228,PULL M  POL CH CRES 117.31.228,1,3.686,EA,AC,0,0,0,HAFELE,117.31.228
AC-0000069,PULL S POL CHM CRES 117.31.238,PULL S POL CHM CRES 117.31.238,PULL S POL CHM CRES 117.31.238,1,4.286,EA,AC,0,0,0,HAFELE,117.31.238
AC-0000071,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,1,10.011,EA,AC,0,0,0,HAFELE,121.88.260
